id=21 ,data=N ,weight=   1 ,parent=54, lc= 0 ,rc= 0
id=34 ,data=j ,weight=   5 ,parent=62, lc= 0 ,rc= 0
id=96 ,data=$ ,weight=1058 ,parent=98, lc= 2 ,rc=92
id= 2 ,data=  ,weight= 507 ,parent=96, lc= 0 ,rc= 0
id=92 ,data=$ ,weight= 551 ,parent=96, lc=44 ,rc=86
id=44 ,data=t ,weight= 251 ,parent=92, lc= 0 ,rc= 0
id=86 ,data=$ ,weight= 300 ,parent=92, lc=80 ,rc=81
id=80 ,data=$ ,weight= 146 ,parent=86, lc=30 ,rc=31
id=30 ,data=f ,weight=  69 ,parent=80, lc= 0 ,rc= 0
id=31 ,data=g ,weight=  77 ,parent=80, lc= 0 ,rc= 0
id=81 ,data=$ ,weight= 154 ,parent=86, lc=45 ,rc=76
id=45 ,data=u ,weight=  77 ,parent=81, lc= 0 ,rc= 0
id=76 ,data=$ ,weight=  77 ,parent=81, lc= 5 ,rc=26
id= 5 ,data=, ,weight=  38 ,parent=76, lc= 0 ,rc= 0
id=26 ,data=b ,weight=  39 ,parent=76, lc= 0 ,rc= 0
